num_confirmed,num_death,num_recovered,num_confirmed_that_day,num_death_that_day,num_recovered_that_day
0,0,0,,,
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
0,0,0,0.0,0.0,0.0
3,0,0,3.0,0.0,0.0
3,0,0,0.0,0.0,0.0
3,0,0,0.0,0.0,0.0
3,0,0,0.0,0.0,0.0
3,0,0,0.0,0.0,0.0
3,0,0,0.0,0.0,0.0
3,0,0,0.0,0.0,0.0
5,0,0,2.0,0.0,0.0
8,0,2,3.0,0.0,2.0
10,0,3,2.0,0.0,1.0
14,1,3,4.0,1.0,0.0
17,1,3,3.0,0.0,0.0
20,1,3,3.0,0.0,0.0
25,2,3,5.0,1.0,0.0
27,2,3,2.0,0.0,0.0
33,3,5,6.0,1.0,2.0
39,4,5,6.0,1.0,0.0
39,5,7,0.0,1.0,2.0
44,5,11,5.0,0.0,4.0
48,5,11,4.0,0.0,0.0
48,5,15,0.0,0.0,4.0
48,5,15,0.0,0.0,0.0
49,5,19,1.0,0.0,4.0
51,5,25,2.0,0.0,6.0
54,6,25,3.0,1.0,0.0
56,6,25,2.0,0.0,0.0
61,6,26,5.0,0.0,1.0
70,8,30,9.0,2.0,4.0
88,9,33,18.0,1.0,3.0
123,12,33,35.0,3.0,0.0
164,17,33,41.0,5.0,0.0
218,20,33,54.0,3.0,0.0
330,21,33,112.0,1.0,0.0
424,27,33,94.0,6.0,0.0
482,30,36,58.0,3.0,3.0
621,34,39,139.0,4.0,3.0
803,39,42,182.0,5.0,3.0
1012,46,42,209.0,7.0,0.0
1231,50,49,219.0,4.0,7.0
1572,60,49,341.0,10.0,0.0
1838,75,58,266.0,15.0,9.0
2144,84,66,306.0,9.0,8.0
2456,91,75,312.0,7.0,9.0
2948,101,85,492.0,10.0,10.0
3382,110,87,434.0,9.0,2.0
